split,image,label_file,cell_idx,class_id,x,y,w,h,Nuclear_Chromatin,Nuclear_Shape,Nucleus,Cytoplasm,Cytoplasmic_Basophilia,Cytoplasmic_Vacuoles
train,/l/users/roba.majzoub/LLD_organized/images/train/10_10_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_10_1000_ALL.txt,0,3,0.5820000171661377,0.40299999713897705,0.09200000017881393,0.2029999941587448,1,1,1,0,1,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_11_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_11_1000_ALL.txt,0,7,0.17900000512599945,0.8140000104904175,0.10499999672174454,0.1809999942779541,0,1,0,0,1,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_11_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_11_1000_ALL.txt,1,7,0.296999990940094,0.1550000011920929,0.10000000149011612,0.15000000596046448,0,1,0,0,0,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_12_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_12_1000_ALL.txt,0,2,0.8309999704360962,0.5260000228881836,0.09399999678134918,0.14499999582767487,1,0,1,0,0,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_13_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_13_1000_ALL.txt,0,7,0.11100000143051147,0.7350000143051147,0.09099999815225601,0.1550000011920929,0,1,0,0,1,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_13_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_13_1000_ALL.txt,1,2,0.6290000081062317,0.257999986410141,0.09200000017881393,0.14100000262260437,1,0,1,0,0,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_14_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_14_1000_ALL.txt,0,7,0.19099999964237213,0.640999972820282,0.08399999886751175,0.1469999998807907,0,1,0,0,1,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_15_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_15_1000_ALL.txt,0,7,0.515999972820282,0.5559999942779541,0.08699999749660492,0.1469999998807907,0,1,0,0,0,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_16_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_16_1000_ALL.txt,0,3,0.42899999022483826,0.4659999907016754,0.1080000028014183,0.19200000166893005,1,1,1,0,1,0
train,/l/users/roba.majzoub/LLD_organized/images/train/10_17_1000_ALL.png,/l/users/roba.majzoub/LLD_organized/attributes/train/10_17_1000_ALL.txt,0,8,0.6119999885559082,0.41200000047683716,0.11100000143051147,0.1889999955892563,1,1,1,0,1,1
